case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity,correct_answer
CASE-001,PC cannot ping the default gateway,PC0 connected to Fa0/1 on Switch1 which connects to Router0 Gi0/0,"interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 shutdown
!",Interface shutdown on router uplink,Layer 1,Interface Down,High,"Bring up the interface: no shutdown on Gi0/0"
CASE-002,DHCP not assigning IP addresses to clients,DHCP server configured on Router0; clients on VLAN 10,"Router0# show ip dhcp pool
Pool VLAN10 :
 Utilization mark (high/low)  : 100 / 0
 Subnet size (first/next)     : 0 / 0
 Total addresses               : 0
 Leased addresses              : 0
 Excluded addresses            : 0
 Pending event                 : none
!
Router0# show run | section dhcp
no ip dhcp pool VLAN10",No DHCP pool configured,Layer 7,DHCP,High,"Configure DHCP pool: ip dhcp pool VLAN10; network 192.168.10.0 255.255.255.0; default-router 192.168.10.1"
CASE-003,PC gets IP but cannot browse websites,PC0 has 192.168.1.10/24 GW 192.168.1.1; DNS should be 8.8.8.8,"PC0> ipconfig
IPv4 Address........: 192.168.1.10
Subnet Mask.........: 255.255.255.0
Default Gateway.....: 192.168.1.1
DNS Server..........: 0.0.0.0",DNS server not configured,Layer 7,DNS,Medium,"Set DNS server on DHCP pool: dns-server 8.8.8.8"
CASE-004,HTTP traffic blocked between VLANs,ACL applied on Router0 inter-VLAN interface,"Router0# show access-lists
Extended IP access list BLOCK_HTTP
    10 deny tcp any any eq 80
    20 permit ip any any
!
Router0# show run int Gi0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
 ip access-group BLOCK_HTTP in",ACL blocking HTTP traffic on VLAN 20,Layer 4,ACL,High,"Remove or modify ACL: no access-list BLOCK_HTTP or change deny rule to permit eq 80"
CASE-005,PC in VLAN 30 cannot reach PC in VLAN 10,Inter-VLAN routing via Router on a Stick,"Router0# show ip route
C    192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
C    192.168.20.0/24 is directly connected, GigabitEthernet0/0.20
!
Switch1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   VLAN10                           active    Fa0/3
20   VLAN20                           active    Fa0/4
30   VLAN30                           active    Fa0/5",VLAN 30 not included in router subinterface,Layer 3,Inter-VLAN Routing,High,"Add subinterface: interface Gi0/0.30; encapsulation dot1Q 30; ip address 192.168.30.1 255.255.255.0"
CASE-006,Hosts cannot reach internet; internal routing works,NAT overload configured on Router0,"Router0# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
!
Router0# show run | section nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
!
Router0# show run | section access-list
(no access-list 1 found)",NAT ACL missing; no traffic matched for translation,Layer 3,NAT,High,"Create ACL: access-list 1 permit 192.168.1.0 0.0.0.255; verify ip nat inside/outside on interfaces"
CASE-007,Switch port not forwarding traffic; port LED orange,PC connected to Fa0/3 on Switch1,"Switch1# show port-security interface Fa0/3
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode             : Shutdown
Aging Time                 : 0 mins
Aging Type                 : Absolute
SecureStatic Address Aging : Disabled
Maximum MAC Addresses      : 1
Total MAC Addresses        : 1
Configured MAC Addresses   : 0
Sticky MAC Addresses       : 1
Last Source Address:Vlan   : 00AA.BB11.2233:10
Security Violation Count   : 1",Port security violation caused port shutdown,Layer 2,Switch Port Security,High,"Clear violation and re-enable: shutdown then no shutdown on Fa0/3; or increase max MAC addresses"
CASE-008,Two PCs on same subnet cannot communicate intermittently,PC0 192.168.1.10 and PC2 both claim 192.168.1.10,"PC0> arp -a
192.168.1.1     00:0A:41:AB:CD:EF  dynamic
PC0> ping 192.168.1.1
!!!!! (success)
!
PC2> ipconfig
IPv4: 192.168.1.10
Subnet: 255.255.255.0
GW: 192.168.1.1",Duplicate IP address conflict,Layer 3,Duplicate IP,Medium,"Assign unique IPs. Change PC2 to 192.168.1.11 or use DHCP to prevent conflicts"
CASE-009,PC can ping router but cannot ping remote network,Static route missing on Router0,"Router0# show ip route
Codes: C - connected, S - static
C    10.0.0.0/24 is directly connected, GigabitEthernet0/0
C    10.0.1.0/24 is directly connected, GigabitEthernet0/1
!
(no S routes present)
Router1 has 192.168.50.0/24",Missing static route to remote subnet,Layer 3,Static Routing,High,"Add static route: ip route 192.168.50.0 255.255.255.0 10.0.1.2"
CASE-010,OSPF neighbors not forming; routers stuck in INIT state,"Router0 and Router1 connected via Se0/0/0, OSPF area 0","Router0# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
(none)
!
Router0# show run | section ospf
router ospf 1
 network 10.0.0.0 0.0.0.255 area 0
!
Router1# show run | section ospf
router ospf 1
 network 10.0.0.0 0.0.0.255 area 1",OSPF area mismatch between routers,Layer 3,OSPF,High,"Change Router1 OSPF area to 0: network 10.0.0.0 0.0.0.255 area 0"
